ADM0_TO,ADM0_PCODE,ADM1_TO,ADM1_PCODE,ADM2_TO,ADM2_PCODE,ADM3_TO,ADM3_PCODE,F_TL,M_TL,2022_Tot_Pop,NAME3,fid,OBJECTID,JOINADM3,VID,Village,Ashfall (depth) in mm,DID,District,DVID,Division,Area,ID,Region3,Total Town Allotment area (m2),"Total residential building
(m2)",Total town home garden (m2),Total town animal yard (m2),Total town other (m2),"Total acres - bush
Allotment","Perennial crop
(acres)","Annual crop
(acres)","Animal Yard
(acres)",Pasture (acres),"Farm building
(acres)",Fallow (acres),Otherp (acres),Total Animal,ACRES_Kava,ACRES_Paper mulberry,ACRES_Vanilla,ACRES_Pineapple,ACRES_Pandanus,ACRES_Papaya,ACRES_Coffee,ACRES_To,"ACRES_Perennial crop 
(acres)",ACRES_Cassava (Manioke),ACRES_Yam (Ufi),ACRES_Yautia (Talo Futuna),"ACRES_Sweet
potato (Kumala)","ACRES_Swam taro
(Talo Tonga)",ACRES_Other Root,ACRES_Watermelon,ACRES_Tomatoes,ACRES_Tobacco,ACRES_Papaya,ACRES_Capsicum,ACRES_Head Cabbage,ACRES_Plantain,ACRES_Giant Taro,ACRES_Cooking Banana,ACRES_Banana,ACRES_Corn,ACRES_Pele,ACRES_Peanut,TREES_Coconut,TREES_Mango,TREES_Breadfruit,"TREES_Pacific litchi
(Tava)",TREES_Moli,TREES_Ifi,TREES_Guava,"TREES_Rose apple
(Fekika)",TREES_Avocado,"TREES_Indian
mulberry Noni",TREES_Others,TREES_Pine,TREES_Pulukamu,TREES_Sita,TREES_Kauli,TREES_Mahokani,TREES_Kofe,TREES_‘oke,TREES_Kofe pitu,TREES_Kotia,TREES_Cauli flower,TREES_Sandalwood,RAW_Total value of raw material sold,RAW_Total of finished product sold,NUM_Beef cattle,NUM_Dairy cattle,NUM_Pig,NUM_Horse,NUM_Sheep,NUM_Goat,NUM_Chicken,NUM_Duck,TREES_Breadfruit,TREES_Mango,TREES_Banana,TREES_Moli,TREES_Coconut,TREES_Sandalwood,TREES_LOUÁKAU,TREES_Pacific litchi,TREES_Plantain,TREES_Papaya,RAW_Fishing value (TOP)
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Kolofo'ou,TO1101,3728,3516,7244,Kolofo'ou,109,108,TO1101,1101,Kolofo'ou,20,11,Kolofo'ou,1,Tongatapu,3.49961,12,1101,1274224,180704,9638,7749,1076133,50,18,23,0,0,0,27,0,7749,6,1,2,6,0,2,1,0,18,246.626506,97.81927711,50.15662651,23.27710843,50.71084337,31.96770305,4.987261146,1.132165605,0.202308627,0.15309842,0.131227217,0.120291616,2.063694268,2.27866242,0.272292994,1.877388535,0.171974522,0.386942675,3.425159236,10588,426,161,107,40,34,58,8,27,38,72,141,152,120,93,4,0,0,0,0,0,16,36355,490078,122,25,1318,3,4,5,1457,32,820,905,910,162,811,89,108,390,118,165,87330.90981
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Ma'ufanga,TO1102,3616,3371,6987,Ma'ufanga,112,111,TO1102,1102,Ma'ufanga,20,11,Kolofo'ou,1,Tongatapu,3.8811,12,1102,972827,131403,37353,13226,790845,121,48,42,6,0,0,39,25,37502,10,17,8,12,0,1,0,0,48,450.3614458,178.626506,91.59036145,42.5060241,92.60240964,58.37580557,13.29936306,3.01910828,0.539489672,0.408262454,0.349939247,0.320777643,5.503184713,6.076433121,0.72611465,5.006369427,0.458598726,1.031847134,9.133757962,28234,1137,429,286,106,91,154,22,71,101,192,376,406,321,249,10,0,1,0,0,0,43,35065,472691,593,121,6378,12,18,23,7049,156,2187,2414,2427,431,2162,237,287,1041,316,441,84232.61552
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Nukumotu,TO1103,37,24,61,Nukunukumotu,144,142,TO1103,1103,Nukunukumotu,20,11,Kolofo'ou,1,Tongatapu,1.7933,12,1103,7090,685,0,50,6355,32,3,7,0,0,0,8,14,50,2,1,0,0,0,0,0,0,3,75.06024096,29.77108434,15.26506024,7.084337349,15.43373494,9.729300928,0.831210191,0.188694268,0.033718104,0.025516403,0.021871203,0.020048603,0.343949045,0.37977707,0.045382166,0.312898089,0.02866242,0.064490446,0.570859873,1765,71,27,18,7,6,10,1,4,6,12,23,25,20,16,1,0,0,0,0,0,3,306,4127,1,0,9,0,0,0,9,0,137,151,152,27,135,15,18,65,20,28,735.3928076
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Popua,TO1105,1215,1139,2354,Popua,111,110,TO1105,1105,Popua,20,11,Kolofo'ou,1,Tongatapu,1.76766,12,1105,323490,38024,21487,5616,258363,65,4,11,0,16,0,17,18,5616,2,0,1,1,0,0,0,0,4,117.9518072,46.78313253,23.98795181,11.13253012,24.25301205,15.28890146,1.108280255,0.251592357,0.044957473,0.034021871,0.029161604,0.02673147,0.458598726,0.506369427,0.060509554,0.417197452,0.038216561,0.085987261,0.761146497,2353,95,36,24,9,8,13,2,6,8,16,31,34,27,21,1,0,0,0,0,0,4,11814,159255,89,18,955,2,3,3,1056,23,182,201,202,36,180,20,24,87,26,37,28378.929
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Tukutonga,TO1106,323,310,633,Tukutonga,110,109,TO1106,1106,Tukutonga,20,11,Kolofo'ou,1,Tongatapu,0.850307,12,1106,64164,6110,416,1092,56546,0,0,0,0,0,0,0,0,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,42824,17,4,186,0,1,1,205,5,0,0,0,0,0,0,0,0,0,0,7631.207331
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Pangaimotu,TO1107,2,8,10,"Pangaimotu, T",142,140,TO1107,1107,"Pangaimotu, T",20,11,Kolofo'ou,1,Tongatapu,0.166778,12,1107,97104,951,0,0,96153,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.277070064,0.062898089,0.011239368,0.008505468,0.007290401,0.006682868,0.114649682,0.126592357,0.015127389,0.104299363,0.00955414,0.021496815,0.190286624,588,24,9,6,2,2,3,0,1,2,4,8,8,7,5,0,0,0,0,0,0,1,50,677,0,0,0,0,0,0,0,0,46,50,51,9,45,5,6,22,7,9,120.556198
Kingdom of Tonga,TO,Tongatapu,TO1,Kolofo'ou,TO11,Fafaa,TO1108,5,2,7,Fafaa Is,146,144,TO1108,1108,Fafaa Is,22,11,Kolofo'ou,1,Tongatapu,0.138448,12,1108,8000,448,0,0,7552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.38933858
Kingdom of Tonga,TO,Tongatapu,TO1,Kolomotu'a,TO12,Kolomotu'a,TO1201,3597,3344,6941,Kolomotu'a,108,107,TO1201,1201,Kolomotu'a,20,12,Kolomotu'a,1,Tongatapu,7.63153,12,1201,1111382,158440,8912,9999,934031,265,28,107,0,11,4,128,11,9999,3,5,3,9,1,7,0,0,28,73.12388664,36.90850202,19.2340081,8.577327935,18.62753036,10.67462549,7.757961783,1.761146497,0.314702309,0.238153098,0.204131227,0.187120292,3.210191083,3.544585987,0.423566879,2.920382166,0.267515924,0.601910828,5.328025478,23702,764,609,336,139,103,562,44,71,26,707,257,217,105,224,2,2,0,0,22,0,33,35442,271683,142,17,1546,7,7,14,1755,57,1131,1235,793,4167,754,166,135,586,133,259,13726.05029
Kingdom of Tonga,TO,Tongatapu,TO1,Kolomotu'a,TO12,Havelu,TO1202,1772,1674,3446,Haveluloto,106,105,TO1202,1202,Haveluloto,20,12,Kolomotu'a,1,Tongatapu,1.74805,12,1202,350702,61542,265,1448,287447,113,11,72,0,14,0,25,1,1448,9,0,0,2,0,0,0,0,11,49.2048583,24.83562753,12.94251012,5.771659919,12.53441296,7.182925564,3.047770701,0.691878981,0.12363305,0.093560146,0.080194411,0.073511543,1.261146497,1.392515924,0.166401274,1.147292994,0.105095541,0.236464968,2.093152866,9311,300,239,132,55,41,221,17,28,10,278,101,85,41,88,1,1,0,0,9,0,13,17596,134882,21,2,224,1,1,2,254,8,444,485,311,1637,296,65,53,230,52,102,6814.575606
Kingdom of Tonga,TO,Tongatapu,TO1,Kolomotu'a,TO12,Tofoa,TO1203,1833,1651,3484,Tofoa/Koloua,105,104,TO1203,1203,Tofoa/Koloua,20,12,Kolomotu'a,1,Tongatapu,5.71144,12,1203,515979,58299,9441,3669,444570,235,14,119,0,17,0,82,15,3669,4,4,5,1,0,0,0,0,14,81.32469636,41.04777328,21.39109312,9.539271255,20.71659919,11.87177975,3.878980892,0.880573248,0.157351154,0.119076549,0.102065614,0.093560146,1.605095541,1.772292994,0.211783439,1.460191083,0.133757962,0.300955414,2.664012739,11851,382,304,168,70,52,281,22,36,13,354,128,108,52,112,1,1,0,0,11,0,16,17790,136370,52,6,567,3,3,5,644,21,566,617,396,2083,377,83,68,293,66,129,6889.721826
