Class,Urban,Peri-Urban,Rural
OT_SM_LR,491.42,98.75,211.47
WC_SM_LR,554.86,97,155.21
CB_SM_LR,746.93,173.64,291.01
ST_SM_LR,582.02,116.4,242.51
WO_SM_LR,363.76,77.6,232.81
TR_OT_LR,618.88,77.6,213.41
IN_SM_LR,145.51,48.5,77.6
WC_SM_MR,676.93,118.34,189.35
CB_SM_MR,911.25,211.84,355.03
CB_CO_MR,1060.7,246.58,413.26
ST_SM_MR,710.07,142.01,295.86
WO_SM_MR,443.79,94.68,284.03
OP_SM_MR,417.12,213.41,310.41
OP_OT_MR,339.51,97,116.4
FA_OT_MR,755.04,94.68,260.36
OT_SM_MR,177.52,59.17,94.68
RC_CO_HR,1378.9,320.55,537.24
CB_SM_HR,911.25,211.84,355.03
