Class,Urban,Peri-Urban,Rural
OT_SM_LR,629.02,126.4,270.68
WC_SM_LR,710.22,124.16,198.66
CB_SM_LR,956.07,222.25,372.49
ST_SM_LR,232.81,155.21,126.1
WO_SM_LR,465.62,99.33,297.99
TR_OT_LR,792.17,99.33,273.16
IN_SM_LR,186.25,62.08,99.33
WC_SM_MR,866.47,151.48,242.37
CB_SM_MR,1166.4,271.15,454.44
CB_CO_MR,1357.69,315.62,528.97
ST_SM_MR,284.03,189.35,153.85
WO_SM_MR,568.05,121.18,363.55
OP_SM_MR,388.01,242.51,339.51
OP_OT_MR,659.62,242.51,291.01
FA_OT_MR,966.45,121.18,333.26
OT_SM_MR,227.22,75.74,121.18
RC_CO_HR,1765,410.3,687.66
CB_SM_HR,1166.4,271.15,454.44
