ADM3_PCODE,ADM3_NAME,ADM2_PCODE,ADM2_NAME,ADM1_PCODE,ADM1_NAME,PCODE_ADM0,ADM0_NAME,Shape_Leng,Shape_Area,Village,URB_PCT,PUR_PCT,RUR_PCT
TO1101,Kolofo'ou,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,12115.10396,4158825.259,Kolofo'ou,75,10,15
TO1102,Ma'ufanga,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,10225.5252,4269659.388,Ma'ufanga,75,10,15
TO1103,Nukumotu,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,6618.718127,2007690.682,Nukunukumotu,75,10,15
TO1105,Popua,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,6998.087041,2127609.822,Popua,75,10,15
TO1106,Tukutonga,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,5068.523028,1078056.695,Tukutonga,75,10,15
TO1107,Pangaimotu,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,1756.16035,181266.3289,Pangaimotu Island,75,10,15
TO1108,Fafaa,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,1295.867816,102564.2228,Fafaa,75,10,15
TO1109,Onevai,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,2518.337423,201060.3865,,75,10,15
TO1110,'Ataa,TO11,Kolofo'ou,TO1,Tongatapu,TO,Kingdom of Tonga,1970.732842,260225.226,,75,10,15
TO1201,Kolomotu'a,TO12,Kolomotu'a,TO1,Tongatapu,TO,Kingdom of Tonga,15073.63808,5599486.347,Kolomotu'a,75,10,15
TO1202,Havelu,TO12,Kolomotu'a,TO1,Tongatapu,TO,Kingdom of Tonga,6415.677784,1917608.726,Havelu,75,10,15
TO1203,Tofoa,TO12,Kolomotu'a,TO1,Tongatapu,TO,Kingdom of Tonga,11964.6671,5652962.559,Tofoa,75,10,15
TO1204,Hofoa,TO12,Kolomotu'a,TO1,Tongatapu,TO,Kingdom of Tonga,11896.76981,4157939.017,Hofoa,75,10,15
TO1205,Puke,TO12,Kolomotu'a,TO1,Tongatapu,TO,Kingdom of Tonga,10403.76025,3811542.535,Puke,75,10,15
TO1206,Sia'atoutai,TO12,Kolomotu'a,TO1,Tongatapu,TO,Kingdom of Tonga,10983.95916,5392098.111,Sia'atoutai,75,10,15
TO1301,Vaini,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,27147.51402,26997728.81,Vaini,75,10,15
TO1302,Malapo,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,7072.195655,2459447.713,Malapo,75,10,15
TO1303,Longoteme,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,13499.15116,7377951.659,Longoteme,75,10,15
TO1304,Folaha,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,12793.61608,6301974.035,Folaha,75,10,15
TO1305,Nukuhetulu,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,10438.44388,3203017.128,Nukuhetulu,75,10,15
TO1306,Veitongo,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,9719.966869,3881277.902,Veitongo,75,10,15
TO1307,Ha'ateiho,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,13834.62397,9649421.786,Ha'ateiho,75,10,15
TO1308,Pea,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,17951.84195,9231363.856,Pea,75,10,15
TO1309,Tokomololo,TO13,Vaini,TO1,Tongatapu,TO,Kingdom of Tonga,14030.26577,5604663.471,Tokomololo,75,10,15
TO1401,Tatakamotonga,TO14,Tatakamotonga,TO1,Tongatapu,TO,Kingdom of Tonga,17482.89368,10041538.31,Tatakamotonga,75,10,15
TO1402,Holonga,TO14,Tatakamotonga,TO1,Tongatapu,TO,Kingdom of Tonga,5475.981711,1804578.866,Holonga,75,10,15
TO1403,Pelehake,TO14,Tatakamotonga,TO1,Tongatapu,TO,Kingdom of Tonga,14976.69252,9931733.645,Pelehake,75,10,15
TO1404,Fua'amotu,TO14,Tatakamotonga,TO1,Tongatapu,TO,Kingdom of Tonga,33621.29998,23348836.57,Fua'amotu,75,10,15
TO1405,Nakolo,TO14,Tatakamotonga,TO1,Tongatapu,TO,Kingdom of Tonga,6818.431645,1841826.315,Nakolo,75,10,15
